key	seed	level	GND	AAD	true_ani	complete	missing_percent	s
AG-359-G18_a5_gnd00070_p12_s3	AG-359-G18	AG-359-G18_a5_gnd00070	0.006287	0.015824188	99.371281	0	12	3
AG-359-G18_a5_gnd00070_p14_s2	AG-359-G18	AG-359-G18_a5_gnd00070	0.006287	0.015824188	99.371281	0	14	2
AG-359-G18_a5_gnd00070_p14_s5	AG-359-G18	AG-359-G18_a5_gnd00070	0.006287	0.015824188	99.371281	0	14	5
AG-359-G18_a5_gnd00070_p20_s1	AG-359-G18	AG-359-G18_a5_gnd00070	0.006287	0.015824188	99.371281	0	20	1
AG-359-G18_a5_gnd00070_p20_s4	AG-359-G18	AG-359-G18_a5_gnd00070	0.006287	0.015824188	99.371281	0	20	4
AG-359-G18_a5_gnd00080	AG-359-G18	AG-359-G18_a5_gnd00080	0.007193520	0.017964658	99.280648	1		
AG-359-G18_a5_gnd00080_p11_s1	AG-359-G18	AG-359-G18_a5_gnd00080	0.007194	0.017964658	99.280648	0	11	1
AG-359-G18_a5_gnd00080_p12_s3	AG-359-G18	AG-359-G18_a5_gnd00080	0.007194	0.017964658	99.280648	0	12	3
AG-359-G18_a5_gnd00080_p18_s5	AG-359-G18	AG-359-G18_a5_gnd00080	0.007194	0.017964658	99.280648	0	18	5
AG-359-G18_a5_gnd00080_p4_s2	AG-359-G18	AG-359-G18_a5_gnd00080	0.007194	0.017964658	99.280648	0	4	2
AG-359-G18_a5_gnd00080_p9_s4	AG-359-G18	AG-359-G18_a5_gnd00080	0.007194	0.017964658	99.280648	0	9	4
AG-359-G18_a5_gnd00090	AG-359-G18	AG-359-G18_a5_gnd00090	0.008064992	0.020028682	99.193501	1		
AG-359-G18_a5_gnd00090_p10_s5	AG-359-G18	AG-359-G18_a5_gnd00090	0.008065	0.020028682	99.193501	0	10	5
AG-359-G18_a5_gnd00090_p11_s1	AG-359-G18	AG-359-G18_a5_gnd00090	0.008065	0.020028682	99.193501	0	11	1
AG-359-G18_a5_gnd00090_p13_s2	AG-359-G18	AG-359-G18_a5_gnd00090	0.008065	0.020028682	99.193501	0	13	2
AG-359-G18_a5_gnd00090_p14_s3	AG-359-G18	AG-359-G18_a5_gnd00090	0.008065	0.020028682	99.193501	0	14	3
AG-359-G18_a5_gnd00090_p16_s4	AG-359-G18	AG-359-G18_a5_gnd00090	0.008065	0.020028682	99.193501	0	16	4
AG-359-G18_a5_gnd001	AG-359-G18	AG-359-G18_a5_gnd001	0.008959704	0.022159979	99.104030	1		
AG-359-G18_a5_gnd001_p12_s2	AG-359-G18	AG-359-G18_a5_gnd001	0.008960	0.022159979	99.104030	0	12	2
AG-359-G18_a5_gnd001_p13_s3	AG-359-G18	AG-359-G18_a5_gnd001	0.008960	0.022159979	99.104030	0	13	3
AG-359-G18_a5_gnd001_p13_s5	AG-359-G18	AG-359-G18_a5_gnd001	0.008960	0.022159979	99.104030	0	13	5
AG-359-G18_a5_gnd001_p17_s1	AG-359-G18	AG-359-G18_a5_gnd001	0.008960	0.022159979	99.104030	0	17	1
AG-359-G18_a5_gnd001_p3_s4	AG-359-G18	AG-359-G18_a5_gnd001	0.008960	0.022159979	99.104030	0	3	4
AG-359-G18_a5_gnd002	AG-359-G18	AG-359-G18_a5_gnd002	0.017879708	0.043989714	98.212029	1		
AG-359-G18_a5_gnd002_p15_s3	AG-359-G18	AG-359-G18_a5_gnd002	0.017880	0.043989714	98.212029	0	15	3
AG-359-G18_a5_gnd002_p18_s2	AG-359-G18	AG-359-G18_a5_gnd002	0.017880	0.043989714	98.212029	0	18	2
AG-359-G18_a5_gnd002_p18_s4	AG-359-G18	AG-359-G18_a5_gnd002	0.017880	0.043989714	98.212029	0	18	4
AG-359-G18_a5_gnd002_p5_s5	AG-359-G18	AG-359-G18_a5_gnd002	0.017880	0.043989714	98.212029	0	5	5
AG-359-G18_a5_gnd002_p7_s1	AG-359-G18	AG-359-G18_a5_gnd002	0.017880	0.043989714	98.212029	0	7	1
AG-359-G18_a5_gnd003	AG-359-G18	AG-359-G18_a5_gnd003	0.026879112	0.065210943	97.312089	1		
AG-359-G18_a5_gnd003_p0_s2	AG-359-G18	AG-359-G18_a5_gnd003	0.026879	0.065210943	97.312089	0	0	2
AG-359-G18_a5_gnd003_p11_s1	AG-359-G18	AG-359-G18_a5_gnd003	0.026879	0.065210943	97.312089	0	11	1
AG-359-G18_a5_gnd003_p19_s3	AG-359-G18	AG-359-G18_a5_gnd003	0.026879	0.065210943	97.312089	0	19	3
AG-359-G18_a5_gnd003_p19_s5	AG-359-G18	AG-359-G18_a5_gnd003	0.026879	0.065210943	97.312089	0	19	5
AG-359-G18_a5_gnd003_p20_s4	AG-359-G18	AG-359-G18_a5_gnd003	0.026879	0.065210943	97.312089	0	20	4
AG-359-G18_a5_gnd004	AG-359-G18	AG-359-G18_a5_gnd004	0.035923059	0.086416884	96.407694	1		
AG-359-G18_a5_gnd004_p13_s1	AG-359-G18	AG-359-G18_a5_gnd004	0.035923	0.086416884	96.407694	0	13	1
AG-359-G18_a5_gnd004_p16_s3	AG-359-G18	AG-359-G18_a5_gnd004	0.035923	0.086416884	96.407694	0	16	3
AG-359-G18_a5_gnd004_p16_s4	AG-359-G18	AG-359-G18_a5_gnd004	0.035923	0.086416884	96.407694	0	16	4
AG-359-G18_a5_gnd004_p20_s2	AG-359-G18	AG-359-G18_a5_gnd004	0.035923	0.086416884	96.407694	0	20	2
AG-359-G18_a5_gnd004_p4_s5	AG-359-G18	AG-359-G18_a5_gnd004	0.035923	0.086416884	96.407694	0	4	5
AG-359-G18_a5_gnd005	AG-359-G18	AG-359-G18_a5_gnd005	0.044946671	0.106708538	95.505333	1		
AG-359-G18_a5_gnd005_p0_s2	AG-359-G18	AG-359-G18_a5_gnd005	0.044947	0.106708538	95.505333	0	0	2
AG-359-G18_a5_gnd005_p18_s5	AG-359-G18	AG-359-G18_a5_gnd005	0.044947	0.106708538	95.505333	0	18	5
AG-359-G18_a5_gnd005_p19_s4	AG-359-G18	AG-359-G18_a5_gnd005	0.044947	0.106708538	95.505333	0	19	4
AG-359-G18_a5_gnd005_p2_s3	AG-359-G18	AG-359-G18_a5_gnd005	0.044947	0.106708538	95.505333	0	2	3
AG-359-G18_a5_gnd005_p8_s1	AG-359-G18	AG-359-G18_a5_gnd005	0.044947	0.106708538	95.505333	0	8	1
AG-359-G18_a5_gnd006	AG-359-G18	AG-359-G18_a5_gnd006	0.053847308	0.126514000	94.615269	1		
AG-359-G18_a5_gnd006_p0_s3	AG-359-G18	AG-359-G18_a5_gnd006	0.053847	0.126514000	94.615269	0	0	3
AG-359-G18_a5_gnd006_p10_s5	AG-359-G18	AG-359-G18_a5_gnd006	0.053847	0.126514000	94.615269	0	10	5
AG-359-G18_a5_gnd006_p17_s1	AG-359-G18	AG-359-G18_a5_gnd006	0.053847	0.126514000	94.615269	0	17	1
AG-359-G18_a5_gnd006_p7_s4	AG-359-G18	AG-359-G18_a5_gnd006	0.053847	0.126514000	94.615269	0	7	4
AG-359-G18_a5_gnd006_p8_s2	AG-359-G18	AG-359-G18_a5_gnd006	0.053847	0.126514000	94.615269	0	8	2
AG-359-G18_a5_gnd007	AG-359-G18	AG-359-G18_a5_gnd007	0.062735358	0.146613012	93.726464	1		
AG-359-G18_a5_gnd007_p12_s1	AG-359-G18	AG-359-G18_a5_gnd007	0.062735	0.146613012	93.726464	0	12	1
AG-359-G18_a5_gnd007_p16_s5	AG-359-G18	AG-359-G18_a5_gnd007	0.062735	0.146613012	93.726464	0	16	5
AG-359-G18_a5_gnd007_p18_s4	AG-359-G18	AG-359-G18_a5_gnd007	0.062735	0.146613012	93.726464	0	18	4
AG-359-G18_a5_gnd007_p1_s2	AG-359-G18	AG-359-G18_a5_gnd007	0.062735	0.146613012	93.726464	0	1	2
AG-359-G18_a5_gnd007_p20_s3	AG-359-G18	AG-359-G18_a5_gnd007	0.062735	0.146613012	93.726464	0	20	3
AG-359-G18_a5_gnd008	AG-359-G18	AG-359-G18_a5_gnd008	0.071760907	0.165907819	92.823909	1		
AG-359-G18_a5_gnd008_p12_s3	AG-359-G18	AG-359-G18_a5_gnd008	0.071761	0.165907819	92.823909	0	12	3
AG-359-G18_a5_gnd008_p15_s2	AG-359-G18	AG-359-G18_a5_gnd008	0.071761	0.165907819	92.823909	0	15	2
AG-359-G18_a5_gnd008_p4_s4	AG-359-G18	AG-359-G18_a5_gnd008	0.071761	0.165907819	92.823909	0	4	4
AG-359-G18_a5_gnd008_p7_s5	AG-359-G18	AG-359-G18_a5_gnd008	0.071761	0.165907819	92.823909	0	7	5
AG-359-G18_a5_gnd008_p8_s1	AG-359-G18	AG-359-G18_a5_gnd008	0.071761	0.165907819	92.823909	0	8	1
AG-359-G18_a5_gnd009	AG-359-G18	AG-359-G18_a5_gnd009	0.080668322	0.184688913	91.933168	1		
AG-359-G18_a5_gnd009_p13_s1	AG-359-G18	AG-359-G18_a5_gnd009	0.080668	0.184688913	91.933168	0	13	1
AG-359-G18_a5_gnd009_p13_s4	AG-359-G18	AG-359-G18_a5_gnd009	0.080668	0.184688913	91.933168	0	13	4
AG-359-G18_a5_gnd009_p15_s5	AG-359-G18	AG-359-G18_a5_gnd009	0.080668	0.184688913	91.933168	0	15	5
AG-359-G18_a5_gnd009_p7_s3	AG-359-G18	AG-359-G18_a5_gnd009	0.080668	0.184688913	91.933168	0	7	3
AG-359-G18_a5_gnd009_p8_s2	AG-359-G18	AG-359-G18_a5_gnd009	0.080668	0.184688913	91.933168	0	8	2
AG-359-G18_a5_gnd010	AG-359-G18	AG-359-G18_a5_gnd010	0.089493432	0.203329348	91.050657	1		
AG-359-G18_a5_gnd010_p15_s1	AG-359-G18	AG-359-G18_a5_gnd010	0.089493	0.203329348	91.050657	0	15	1
AG-359-G18_a5_gnd010_p15_s4	AG-359-G18	AG-359-G18_a5_gnd010	0.089493	0.203329348	91.050657	0	15	4
AG-359-G18_a5_gnd010_p16_s5	AG-359-G18	AG-359-G18_a5_gnd010	0.089493	0.203329348	91.050657	0	16	5
AG-359-G18_a5_gnd010_p5_s3	AG-359-G18	AG-359-G18_a5_gnd010	0.089493	0.203329348	91.050657	0	5	3
AG-359-G18_a5_gnd010_p9_s2	AG-359-G18	AG-359-G18_a5_gnd010	0.089493	0.203329348	91.050657	0	9	2
AG-359-G18_a5_gnd011	AG-359-G18	AG-359-G18_a5_gnd011	0.098770740	0.222199119	90.122926	1		
AG-359-G18_a5_gnd011_p11_s5	AG-359-G18	AG-359-G18_a5_gnd011	0.098771	0.222199119	90.122926	0	11	5
AG-359-G18_a5_gnd011_p13_s1	AG-359-G18	AG-359-G18_a5_gnd011	0.098771	0.222199119	90.122926	0	13	1
AG-359-G18_a5_gnd011_p15_s4	AG-359-G18	AG-359-G18_a5_gnd011	0.098771	0.222199119	90.122926	0	15	4
AG-359-G18_a5_gnd011_p17_s2	AG-359-G18	AG-359-G18_a5_gnd011	0.098771	0.222199119	90.122926	0	17	2
AG-359-G18_a5_gnd011_p20_s3	AG-359-G18	AG-359-G18_a5_gnd011	0.098771	0.222199119	90.122926	0	20	3
AG-359-G18_a5_gnd012	AG-359-G18	AG-359-G18_a5_gnd012	0.107699458	0.240203528	89.230054	1		
AG-359-G18_a5_gnd012_p14_s2	AG-359-G18	AG-359-G18_a5_gnd012	0.107699	0.240203528	89.230054	0	14	2
AG-359-G18_a5_gnd012_p16_s3	AG-359-G18	AG-359-G18_a5_gnd012	0.107699	0.240203528	89.230054	0	16	3
AG-359-G18_a5_gnd012_p18_s1	AG-359-G18	AG-359-G18_a5_gnd012	0.107699	0.240203528	89.230054	0	18	1
AG-359-G18_a5_gnd012_p9_s4	AG-359-G18	AG-359-G18_a5_gnd012	0.107699	0.240203528	89.230054	0	9	4
AG-359-G18_a5_gnd012_p9_s5	AG-359-G18	AG-359-G18_a5_gnd012	0.107699	0.240203528	89.230054	0	9	5
AG-359-G18_a5_gnd013	AG-359-G18	AG-359-G18_a5_gnd013	0.116608811	0.257672820	88.339119	1		
AG-359-G18_a5_gnd013_p11_s1	AG-359-G18	AG-359-G18_a5_gnd013	0.116609	0.257672820	88.339119	0	11	1
AG-359-G18_a5_gnd013_p15_s5	AG-359-G18	AG-359-G18_a5_gnd013	0.116609	0.257672820	88.339119	0	15	5
AG-359-G18_a5_gnd013_p16_s3	AG-359-G18	AG-359-G18_a5_gnd013	0.116609	0.257672820	88.339119	0	16	3
AG-359-G18_a5_gnd013_p20_s4	AG-359-G18	AG-359-G18_a5_gnd013	0.116609	0.257672820	88.339119	0	20	4
AG-359-G18_a5_gnd013_p9_s2	AG-359-G18	AG-359-G18_a5_gnd013	0.116609	0.257672820	88.339119	0	9	2
AG-359-G18_a5_gnd014	AG-359-G18	AG-359-G18_a5_gnd014	0.125646947	0.275527396	87.435305	1		
AG-359-G18_a5_gnd014_p18_s1	AG-359-G18	AG-359-G18_a5_gnd014	0.125647	0.275527396	87.435305	0	18	1
AG-359-G18_a5_gnd014_p18_s4	AG-359-G18	AG-359-G18_a5_gnd014	0.125647	0.275527396	87.435305	0	18	4
AG-359-G18_a5_gnd014_p3_s2	AG-359-G18	AG-359-G18_a5_gnd014	0.125647	0.275527396	87.435305	0	3	2
AG-359-G18_a5_gnd014_p7_s3	AG-359-G18	AG-359-G18_a5_gnd014	0.125647	0.275527396	87.435305	0	7	3
AG-359-G18_a5_gnd014_p8_s5	AG-359-G18	AG-359-G18_a5_gnd014	0.125647	0.275527396	87.435305	0	8	5
AG-359-G18_a5_gnd015	AG-359-G18	AG-359-G18_a5_gnd015	0.134634732	0.292635866	86.536527	1		
AG-359-G18_a5_gnd015_p0_s5	AG-359-G18	AG-359-G18_a5_gnd015	0.134635	0.292635866	86.536527	0	0	5
AG-359-G18_a5_gnd015_p10_s4	AG-359-G18	AG-359-G18_a5_gnd015	0.134635	0.292635866	86.536527	0	10	4
AG-359-G18_a5_gnd015_p14_s3	AG-359-G18	AG-359-G18_a5_gnd015	0.134635	0.292635866	86.536527	0	14	3
AG-359-G18_a5_gnd015_p15_s2	AG-359-G18	AG-359-G18_a5_gnd015	0.134635	0.292635866	86.536527	0	15	2
AG-359-G18_a5_gnd015_p5_s1	AG-359-G18	AG-359-G18_a5_gnd015	0.134635	0.292635866	86.536527	0	5	1
AG-359-G18_a5_gnd016	AG-359-G18	AG-359-G18_a5_gnd016	0.143360107	0.308667986	85.663989	1		
AG-359-G18_a5_gnd016_p0_s1	AG-359-G18	AG-359-G18_a5_gnd016	0.143360	0.308667986	85.663989	0	0	1
AG-359-G18_a5_gnd016_p10_s3	AG-359-G18	AG-359-G18_a5_gnd016	0.143360	0.308667986	85.663989	0	10	3
AG-359-G18_a5_gnd016_p13_s5	AG-359-G18	AG-359-G18_a5_gnd016	0.143360	0.308667986	85.663989	0	13	5
AG-359-G18_a5_gnd016_p15_s2	AG-359-G18	AG-359-G18_a5_gnd016	0.143360	0.308667986	85.663989	0	15	2
AG-359-G18_a5_gnd016_p8_s4	AG-359-G18	AG-359-G18_a5_gnd016	0.143360	0.308667986	85.663989	0	8	4
AG-359-G18_a5_gnd017	AG-359-G18	AG-359-G18_a5_gnd017	0.152620953	0.326485868	84.737905	1		
AG-359-G18_a5_gnd017_p14_s2	AG-359-G18	AG-359-G18_a5_gnd017	0.152621	0.326485868	84.737905	0	14	2
AG-359-G18_a5_gnd017_p19_s1	AG-359-G18	AG-359-G18_a5_gnd017	0.152621	0.326485868	84.737905	0	19	1
AG-359-G18_a5_gnd017_p19_s5	AG-359-G18	AG-359-G18_a5_gnd017	0.152621	0.326485868	84.737905	0	19	5
AG-359-G18_a5_gnd017_p8_s3	AG-359-G18	AG-359-G18_a5_gnd017	0.152621	0.326485868	84.737905	0	8	3
AG-359-G18_a5_gnd017_p9_s4	AG-359-G18	AG-359-G18_a5_gnd017	0.152621	0.326485868	84.737905	0	9	4
AG-359-G18_a5_gnd018	AG-359-G18	AG-359-G18_a5_gnd018	0.161620358	0.342025680	83.837964	1		
AG-359-G18_a5_gnd018_p15_s1	AG-359-G18	AG-359-G18_a5_gnd018	0.161620	0.342025680	83.837964	0	15	1
AG-359-G18_a5_gnd018_p15_s4	AG-359-G18	AG-359-G18_a5_gnd018	0.161620	0.342025680	83.837964	0	15	4
AG-359-G18_a5_gnd018_p2_s2	AG-359-G18	AG-359-G18_a5_gnd018	0.161620	0.342025680	83.837964	0	2	2
AG-359-G18_a5_gnd018_p7_s3	AG-359-G18	AG-359-G18_a5_gnd018	0.161620	0.342025680	83.837964	0	7	3
AG-359-G18_a5_gnd018_p9_s5	AG-359-G18	AG-359-G18_a5_gnd018	0.161620	0.342025680	83.837964	0	9	5
AG-359-G18_a5_gnd019	AG-359-G18	AG-359-G18_a5_gnd019	0.170745641	0.358339118	82.925436	1		
AG-359-G18_a5_gnd019_p10_s4	AG-359-G18	AG-359-G18_a5_gnd019	0.170746	0.358339118	82.925436	0	10	4
AG-359-G18_a5_gnd019_p10_s5	AG-359-G18	AG-359-G18_a5_gnd019	0.170746	0.358339118	82.925436	0	10	5
AG-359-G18_a5_gnd019_p16_s2	AG-359-G18	AG-359-G18_a5_gnd019	0.170746	0.358339118	82.925436	0	16	2
